Beigang,Beigang Police Substation,Sucuoliao,Xi-an Station,Liudouwei,Dingliao,Gangweiliao,Sanxingliao (I),Sanxingliao,Datushi,Liujia Junior high school,Suantou,Suantou(I),NPM Southern Branch North Station,Xiaokanglang,Shuangxikou,Dexing Village,Tianxing Village,Tungshih Senior High School,Tungshih Junior High School,Pozi Farmers' Association,Puzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7235,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,高鐵嘉義站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,HSR Chiayi Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義客運 05-2750895,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0930,1030,1130,1230,1330,1430,1530,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0920,1000,1040,1120,1200,1240,1320,1400,1440,1520,1600,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港派出所,蘇厝寮,崙陽路口,安和路口,水仙宮,板頭路口,南港派出所,南壇,老塗獅,高橋3站,高橋2站,高橋1站,故宮南院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Beigang Police Substation,Sucuoliao,Lunyang Rd. Intersection,Anhe Rd. Intersection,Shuixian Temple,Bantou Rd. Intersection,Nangang Police Substation,Nantan,Laotushi,Gaoqiao 3 Station,Gaoqiao 2 Station,Gaoqiao 1 Station,NPM Southern Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
